PLAYER,RANK
Scottie Scheffler,1
Jon Rahm,2
Brooks Koepka,3
Rory McIlroy,4
Patrick Cantlay,5
Viktor Hovland,6
Xander Schauffele,7
Collin Morikawa,8
Cameron Smith,9
Jordan Spieth,10
Max Homa,11
Justin Thomas,12
Tony Finau,13
Matt Fitzpatrick,14
Dustin Johnson,15
Jason Day,16
Shane Lowry,17
Cameron Young,18
Sungjae Im,19
Hideki Matsuyama,20
Sam Burns,21
Tyrrell Hatton,22
Tommy Fleetwood,23
Justin Rose,24
Bryson DeChambeau,25
Wyndham Clark,26
Corey Conners,27
Joaquin Niemann,28
Sahith Theegala,29
Rickie Fowler,30
Taylor Montgomery,31
Tom Kim,32
Adam Scott,33
Patrick Reed,34
Taylor Moore,35
Cameron Davis,36
Mito Pereira,37
Keegan Bradley,38
Victor Perez,39
Gary Woodland,40
Si Woo Kim,41
Russell Henley,42
Denny McCarthy,43
Chris Kirk,44
Lucas Herbert,45
Keith Mitchell,46
Min Woo Lee,47
Scott Stallings,48
Sepp Straka,49
Seamus Power,50
Abraham Ancer,51
Joel Dahmen,52
Phil Mickelson,53
Harris English,54
Ryan Fox,55
Thomas Pieters,56
Sergio Garcia,57
Kurt Kitayama,58
Tom Hoge,59
Emiliano Grillo,60
Kyoung-Hoon Lee,61
Adrian Meronk,62
Pablo Larrazabal,63
Matt Kuchar,64
Adam Schenk,65
J.T. Poston,66
Andrew Putnam,67
Adam Svensson,68
Mackenzie Hughes,69
Justin Suh,70
Hayden Buckley,71
Jordan L. Smith,72
Sebastian Munoz,73
Michael Thorbjornsen,74
Patrick Rodgers,75
Aaron Wise,76
Eric Cole,77
Sam Stevens,78
Kevin Streelman,79
Carlos Ortiz,80
Charley Hoffman,81
Gordon Sargent,82
Martin Kaymer,83
Luke List,84
Billy Horschel,85
Brian Harman,86
Adam Hadwin,87
Alexander Noren,88
Nick Taylor,89
Austin Eckroat,90
Taylor Pendrith,91
Francesco Molinari,92
Nick Hardy,93
Carson Young,94
Padraig Harrington,95
Wilco Nienaber,96
Thriston Lawrence,97
Vincent Norrman,98
Romain Langasque,99
Matthieu Pavon,100
Berry Henson,101
David Puig,102
Dylan Wu,103
Michael Brennan,104
Ross Fisher,105
Ryan Gerard,106
Stewart Cink,107
Davis Thompson,108
Barclay Brown,109
Matthew McClean,110
Paul Haley,111
Deon Germishuys,112
Nicolas Echavarria,113
Yuto Katsuragawa,114
Alejandro Del Rey,115
Austen Truslow,116
David Nyfjall,117
Hank Lebioda,118
Karl Vilips,119
Mac Meissner,120
Nick Dunlap,121
Ryo Ishikawa,122
Jens Dantorp,123
Ben Carr,124
Brendan Valdes,125
Brent Grant,126
Christian Cavaliere,127
David Horsey,128
Frankie Capan,129
Isaac Simmons,130
J.J. Grey,131
Jacob Solomon,132
Mateo Fernandez de Oliveira,133
Omar Morales,134
Patrick Cover,135
Paul Barjon,136
Preston Summerhays,137
Ryan Armour,138
Sam Bennett,139
Simon Forsstrom,140
Wenyi Ding,141
Aldrich Potgieter,142
Andrew Svoboda,143
Roger Sloan,144
Corey Pereira,145
Gunn Charoenkul,146
Kyle Mueller,147
Olin Browne,148
Ryutaro Nagano,149
Alex Schaake,150
Alexander Yang,151
Jesse Schutte,152
