PLAYER,RANK
Scottie Scheffler,1
Rory McIlroy,2
Jon Rahm,3
Viktor Hovland,4
Jordan Spieth,5
Brooks Koepka,6
Xander Schauffele,7
Ludvig Aberg,8
Joaquin Niemann,9
Patrick Cantlay,10
Hideki Matsuyama,11
Justin Thomas,12
Wyndham Clark,13
Will Zalatoris,14
Cameron Smith,15
Collin Morikawa,16
Tony Finau,17
Dustin Johnson,18
Max Homa,19
Matt Fitzpatrick,20
Cameron Young,21
Jason Day,22
Shane Lowry,23
Bryson DeChambeau,24
Sam Burns,25
Tommy Fleetwood,26
Min Woo Lee,27
Brian Harman,28
Sahith Theegala,29
Tyrrell Hatton,30
Sungjae Im,31
Tom Kim,32
Rickie Fowler,33
Corey Conners,34
Adam Scott,35
Justin Rose,36
Patrick Reed,37
Russell Henley,38
Lucas Glover,39
Byeong-Hun An,40
Denny McCarthy,41
Nick Taylor,42
Nicolai Hojgaard,43
Stephan Jaeger,44
Si Woo Kim,45
Tiger Woods,46
Keegan Bradley,47
Chris Kirk,48
Sepp Straka,49
Eric Cole,50
J.T. Poston,51
Adam Hadwin,52
Jake Knapp,53
Ryan Fox,54
Cameron Davis,55
Thorbjorn Olesen,56
Phil Mickelson,57
Sergio Garcia,58
Matthieu Pavon,59
Harris English,60
Austin Eckroat,61
Taylor Moore,62
Luke List,63
Bubba Watson,64
Emiliano Grillo,65
Kurt Kitayama,66
Adrian Meronk,67
Erik van Rooyen,68
Ryo Hisatsune,69
Camilo Villegas,70
Grayson Murray,71
Adam Schenk,72
Peter Malnati,73
Nick Dunlap,74
Gary Woodland,75
Charl Schwartzel,76
Danny Willett,77
Christo Lamprecht,78
Lee Hodges,79
Zach Johnson,80
Jasper Stubbs,81
Neal Shipley,82
Santiago De la Fuente,83
Stewart Hagestad,84
Fred Couples,85
Mike Weir,86
Vijay Singh,87
Jose Maria Olazabal,88
