PLAYER,RANK
Scottie Scheffler,1
Rory McIlroy,2
Xander Schauffele,3
Ludvig Aberg,4
Bryson DeChambeau,5
Collin Morikawa,6
Jon Rahm,7
Tommy Fleetwood,8
Tyrrell Hatton,9
Viktor Hovland,10
Robert Macintyre,11
Brooks Koepka,12
Shane Lowry,13
Patrick Cantlay,14
Sahith Theegala,15
Hideki Matsuyama,16
Tony Finau,17
Cameron Smith,18
Tom Kim,19
Min Woo Lee,20
Matt Fitzpatrick,21
Sungjae Im,22
Cameron Young,23
Justin Thomas,24
Adam Scott,25
Aaron Rai,26
Joaquin Niemann,27
Wyndham Clark,28
Brian Harman,29
Jordan Spieth,30
Max Homa,31
Corey Conners,32
Louis Oosthuizen,33
Davis Thompson,34
Si Woo Kim,35
Alexander Noren,36
Akshay Bhatia,37
Sepp Straka,38
Sam Burns,39
Nicolai Hojgaard,40
Ryan Fox,41
Dean Burmester,42
Russell Henley,43
Jason Day,44
Byeong-Hun An,45
Justin Rose,46
Dustin Johnson,47
Matthieu Pavon,48
Christiaan Bezuidenhout,49
Rasmus Hojgaard,50
Will Zalatoris,51
Rickie Fowler,52
Tom McKibbin,53
Keegan Bradley,54
Denny McCarthy,55
J.T. Poston,56
Victor Perez,57
Ewen Ferguson,58
Abraham Ancer,59
Adam Hadwin,60
Tom Hoge,61
Harris English,62
Billy Horschel,63
Adrian Meronk,64
Romain Langasque,65
Matt Wallace,66
Jordan L. Smith,67
Matteo Manassero,68
Padraig Harrington,69
Tiger Woods,70
Mackenzie Hughes,71
Sebastian Soderberg,72
Matthew Southgate,73
Nick Taylor,74
Stephan Jaeger,75
Austin Eckroat,76
Kurt Kitayama,77
Ben Griffin,78
Brendon Todd,79
Thorbjorn Olesen,80
Laurie Canter,81
Richard Mansell,82
Chris Kirk,83
Lucas Glover,84
Eric Cole,85
Taylor Moore,86
Emiliano Grillo,87
Maverick McNealy,88
Keita Nakajima,89
Ryo Hisatsune,90
Cheng-Tsung Pan,91
Alexander Bjork,92
David Puig,93
Guido Migliozzi,94
Gary Woodland,95
Matthew Jordan,96
Phil Mickelson,97
John Catlin,98
Francesco Molinari,99
Henrik Stenson,100
Sam Horsfield,101
Gordon Sargent,102
Thriston Lawrence,103
Marcel Siem,104
Joost Luiten,105
Sami Valimaki,106
Rikuya Hoshino,107
Yannik Paul,108
Stewart Cink,109
Dominic Clemons,110
Adam Schenk,111
Jesper Svensson,112
Jorge Campillo,113
Joe Dean,114
Sam Hutsby,115
Sean Crocker,116
Shubhankar Sharma,117
Zach Johnson,118
Calum Scott,119
Vincent Norrman,120
Yuto Katsuragawa,121
Dan Bradbury,122
Daniel Brown,123
Ernie Els,124
Younghan Song,125
Jacob Skov Olesen,126
Santiago De la Fuente,127
Thomas Morrison,128
Mason Andersen,129
Angel Hidalgo,130
Minkyu Kim,131
Jaime Montojo,132
Nacho Elvira,133
Alex Cejka,134
Andy Ogletree,135
Charlie Lindh,136
Daniel Hillier,137
Denwit Boriboonsub,138
Elvis Smylie,139
Guntaek Koh,140
Kazuma Kobori,141
Michael Hendry,142
Ryan Van Velzen,143
Ryosuke Kinoshita,144
Altin Van Der Merwe,145
Jasper Stubbs,146
Liam Nolan,147
Luis Masaveu,148
Matthew Dodd-Berry,149
Aguri Iwasaki,150
Darren Clarke,151
Darren Fichardt,152
Jack McDonald,153
Jeunghun Wang,154
John Daly,155
Justin Leonard,156
Masahiro Kawamura,157
Todd Hamilton,158
