PLAYER,RANK
Scottie Scheffler,1
Rory McIlroy,2
Xander Schauffele,3
Jon Rahm,4
Ludvig Aberg,5
Brooks Koepka,6
Wyndham Clark,7
Collin Morikawa,8
Viktor Hovland,9
Patrick Cantlay,10
Max Homa,11
Justin Thomas,12
Will Zalatoris,13
Cameron Smith,14
Bryson DeChambeau,15
Hideki Matsuyama,16
Joaquin Niemann,17
Tommy Fleetwood,18
Matt Fitzpatrick,19
Cameron Young,20
Tyrrell Hatton,21
Sahith Theegala,22
Jordan Spieth,23
Tony Finau,24
Dustin Johnson,25
Shane Lowry,26
Talor Gooch,27
Patrick Reed,28
Tom Kim,29
Jason Day,30
Sam Burns,31
Min Woo Lee,32
Sungjae Im,33
Corey Conners,34
Brian Harman,35
Russell Henley,36
Sepp Straka,37
Byeong-Hun An,38
Akshay Bhatia,39
Nicolai Hojgaard,40
Rickie Fowler,41
Si Woo Kim,42
Adam Scott,43
Alexander Noren,44
Keegan Bradley,45
Matthieu Pavon,46
Chris Kirk,47
Denny McCarthy,48
Stephan Jaeger,49
Harris English,50
Jake Knapp,51
Tom Hoge,52
Cameron Davis,53
Justin Rose,54
Matt Wallace,55
Maverick McNealy,56
Kyoung-Hoon Lee,57
Nick Taylor,58
J.T. Poston,59
Eric Cole,60
Kurt Kitayama,61
Christiaan Bezuidenhout,62
Taylor Moore,63
Erik Van Rooyen,64
Billy Horschel,65
David Puig,66
Tiger Woods,67
Lucas Glover,68
Adam Schenk,69
Emiliano Grillo,70
Adam Hadwin,71
Austin Eckroat,72
Taylor Pendrith,73
Thomas Detry,74
Aaron Rai,75
Keita Nakajima,76
Keith Mitchell,77
Beau Hossler,78
Sebastian Soderberg,79
Ryan Fox,80
Adrian Meronk,81
Brendon Todd,82
Luke List,83
Andrew Putnam,84
Thorbjorn Olesen,85
Patrick Rodgers,86
Ben Kohles,87
Adam Svensson,88
Robert Macintyre,89
Rasmus Hojgaard,90
Ryo Hisatsune,91
Ben Griffin,92
Lucas Herbert,93
Sami Valimaki,94
Rikuya Hoshino,95
Jordan L. Smith,96
Victor Perez,97
Charley Hoffman,98
Thriston Lawrence,99
Alejandro Tosti,100
Alexander Bjork,101
Adrian Otaegui,102
Gary Woodland,103
Phil Mickelson,104
Mackenzie Hughes,105
Nick Dunlap,106
Mark Hubbard,107
Lee Hodges,108
Taylor Montgomery,109
Takumi Kanaya,110
Jesper Svensson,111
Vincent Norrman,112
Tim Widing,113
Dean Burmester,114
Andy Ogletree,115
Luke Donald,116
Martin Kaymer,117
Peter Malnati,118
Zac Blair,119
Brice Garnett,120
Grayson Murray,121
Camilo Villegas,122
Francesco Molinari,123
Jason Dufner,124
Jimmy Walker,125
Kazuma Kobori,126
Padraig Harrington,127
Ryan Van Velzen,128
Steve Stricker,129
Andrew Svoboda,130
Ben Polland,131
Brad Marek,132
Braden Shattuck,133
Evan Bowser,134
Jared Jones,135
Jeffrey Kellen,136
Jeremy Wells,137
Jesse Mueller,138
John Daly,139
John Somers,140
Josh Bevell,141
Josh Speight,142
Kyle Mendoza,143
Larkin Gross,144
Matt Dobyns,145
Michael Block,146
Preston Cole,147
Rich Beem,148
Shaun Micheel,149
Tyler Collet,150
Wyatt Worthington,151
Y.E. Yang,152
Zac Oakley,153
Tracy Phillips,154
