PLAYER,RANK
Tyrrell Hatton,1
Rickie Fowler,2
Corey Conners,3
Hideki Matsuyama,4
Si Woo Kim,5
Taylor Montgomery,6
Chris Kirk,7
Davis Riley,8
Alexander Noren,9
Matt Kuchar,10
J.J. Spaun,11
Ryan Fox,12
Cameron Davis,13
Brendon Todd,14
Ben Griffin,15
Thomas Detry,16
Matt Wallace,17
Nicolai Hojgaard,18
Christiaan Bezuidenhout,19
Adam Schenk,20
Taylor Pendrith,21
Andrew Putnam,22
Nick Taylor,23
Emiliano Grillo,24
Beau Hossler,25
Patrick Rodgers,26
Sam Ryder,27
Byeong-Hun An,28
Francesco Molinari,29
Sepp Straka,30
Luke List,31
Alex Smalley,32
Hayden Buckley,33
Aaron Rai,34
Brandon Wu,35
Robby Shelton,36
Will Gordon,37
Seonghyeon Kim,38
Garrick Higgo,39
Ryan Palmer,40
Trey Mullinax,41
Lee Hodges,42
Nick Hardy,43
Lanto Griffin,44
Sam Stevens,45
Erik Van Rooyen,46
Eric Cole,47
Kevin Streelman,48
Austin Eckroat,49
Ben Martin,50
Matthew NeSmith,51
David Lingmerth,52
Mark Hubbard,53
Joseph Bramlett,54
Tyler Duncan,55
Cameron Champ,56
Charley Hoffman,57
Patton Kizzire,58
Scott Piercy,59
Kazuki Higa,60
Ben Taylor,61
Troy Merritt,62
Carl Yuan,63
MJ Daffue,64
Dylan Frittelli,65
Pierceson Coody,66
Adam Long,67
Doug Ghim,68
Harry Hall,69
Kramer Hickok,70
Martin Laird,71
Nate Lashley,72
Padraig Harrington,73
Peter Malnati,74
Callum Tarren,75
Akshay Bhatia,76
Chesson Hadley,77
Stewart Cink,78
Lucas Glover,79
Andrew Novak,80
Chad Ramey,81
Greyson Sigg,82
Harry Higgs,83
Russell Knox,84
Vincent Norrman,85
Augusto Nunez,86
Austin Smotherman,87
Henrik Norlander,88
Justin Lower,89
Kevin Tway,90
Michael Kim,91
Michael Thompson,92
Doc Redman,93
James Hahn,94
Kevin Chappell,95
Matthias Schmid,96
Matthias Schwab,97
Ryan Armour,98
Ryan Moore,99
Tano Goya,100
Zac Blair,101
Chez Reavie,102
Austin Cook,103
Brice Garnett,104
Cole Hammer,105
Harrison Endycott,106
Luke Donald,107
Nicolas Echavarria,108
Zecheng Dou,109
Paul Haley,110
Brent Grant,111
Ricky Barnes,112
Jason Dufner,113
Jimmy Walker,114
Kevin Roy,115
Michael Gligic,116
Scott Harrington,117
Trevor Werbylo,118
Brandon Matthews,119
Brian Stuard,120
Carson Young,121
Jim Herman,122
Kyle Westmoreland,123
Richy Werenski,124
Trevor Cone,125
Andrew Landry,126
J.B. Holmes,127
Kelly Kraft,128
Kyle Stanley,129
Max McGreevy,130
Nick Watney,131
Davis Love III,132
Jesse Mueller,133
JJ Wood,134
Austen Truslow,135
Chandler Phillips,136
David Carey,137
Peter Kuest,138
Peter Lansburgh,139
Roberto Diaz,140
Ryan Gerard,141
WITHDRAWN - Anders Albertson,142
WITHDRAWN - Brian Gay,143
WITHDRAWN - Davis Thompson,144
WITHDRAWN - Keith Mitchell,145
WITHDRAWN - Robert Streb,146
WITHDRAWN - Stephan Jaeger,147
